Date,Close,High,Low,Open,Volume,Return
2022-01-03,30.06276512145996,30.651624582903967,29.727414293582168,29.75735697767053,391547000,
2022-01-04,29.233373641967773,30.409095675209777,28.29419292188651,30.218464956704405,527154000,-2.758866245806968
2022-01-05,27.550630569458008,29.359127526177748,27.479768693565187,28.893029463658266,498064000,-5.756239745432601
2022-01-06,28.123523712158203,28.383021289445175,27.012676481336786,27.586563706783856,454186000,2.0794193485186296
2022-01-07,27.19432258605957,28.367052077902994,27.004689383729875,28.086595203604723,409939000,-3.3039996538446803
2022-01-10,27.347026824951172,27.415893669977173,25.594421205944393,26.529609965171062,594681000,0.5615298502411825
2022-01-11,27.763221740722656,28.010743386947276,26.78711374014883,27.270177292552447,404089000,1.5219018814569996
2022-01-12,27.944866180419922,28.53971261700627,27.554621408963357,28.012733594807443,383413000,0.6542628279730067
2022-01-13,26.52362060546875,28.42493625647017,26.446767908799874,28.324131697586143,540171000,-5.08589150427563
2022-01-14,26.889911651611328,27.1444197184354,26.159326499116265,26.24915265168228,395832000,1.3809994178059393
2022-01-18,25.852924346923828,26.586504058305138,25.72018204047513,26.209234546842218,424270000,-3.8564176711430753
2022-01-19,25.01853370666504,26.49167977055228,25.003563317549837,26.02857809333129,488315000,-3.227451676498916
2022-01-20,24.10331153869629,25.529549771779315,24.031450230407202,25.255081797321385,435181000,-3.658176688927739
2022-01-21,23.328807830810547,24.775005651877514,23.21802238406454,23.46155010178448,718958000,-3.213266802125203
2022-01-24,23.326812744140625,23.334796698374127,20.847616010504623,22.286827510617645,913982000,-0.008552030109687525
2022-01-25,22.280838012695312,22.898642619197854,21.957465030730408,22.50240891802153,664616000,-4.484001920528325
2022-01-26,22.72797203063965,24.010487462454297,22.256884472463902,23.195067611762184,755959000,2.0068096975955907
2022-01-27,21.901575088500977,23.948610407504805,21.633094151119476,23.52243589687238,573353000,-3.636034666993626
2022-01-28,22.795839309692383,22.813804156653173,21.254823989187226,21.96943921654881,543774000,4.083104605846022
