Date,Close,High,Low,Open,Volume,Return
2022-01-03,143.90420532226562,144.75725699875156,142.6352894390565,143.96722101651818,28646000,
2022-01-04,143.31663513183594,145.3864907314866,142.63875836947292,144.3056527999595,28400000,-0.4083064765993849
2022-01-05,136.7418212890625,143.41589690893608,136.65548327199204,143.3369947744093,54618000,-4.587613877987939
2022-01-06,136.7145233154297,138.89058651246134,135.5344442800259,135.97114712472833,37348000,-0.01996314907574126
2022-01-07,135.989501953125,137.41027034450386,134.74837599268508,137.109533589017,29760000,-0.5303177341531629
2022-01-10,137.62960815429688,137.7784923866588,132.1659006036538,134.06504915322984,44408000,1.206053539145402
2022-01-11,138.68809509277344,139.16450641786577,135.6674310302053,136.97207234315368,28730000,0.7690837405348816
2022-01-12,140.36990356445312,141.53857889929625,139.63943036795163,140.09150474264098,26108000,1.2126552539024171
2022-01-13,137.54774475097656,141.7787770936722,137.37107060354336,140.47858803319025,31436000,-2.0105156032829474
2022-01-14,138.4345245361328,139.68656954146815,135.97114257121223,136.05102908212427,29662000,0.644706888333002
2022-01-18,134.9781494140625,136.10314842718847,134.42285105215512,135.15382402606036,34872000,-2.49675804041799
2022-01-19,134.10325622558594,136.92493874451395,134.00301568869605,135.49970276827796,28648000,-0.648173939466834
2022-01-20,132.30780029296875,136.59392702460264,131.96737020442174,135.22823884786024,29908000,-1.3388608026019155
2022-01-21,129.37399291992188,133.85413470989914,129.11098076605415,131.59918447816986,55652000,-2.2174107396166765
2022-01-24,129.8230743408203,130.21908421614395,123.56634850498187,125.03326152435547,76622000,0.3471187761642458
2022-01-25,125.98310089111328,128.42862762197316,125.5518651812698,127.77457291304532,46960000,-2.957851267353351
2022-01-26,128.26388549804688,132.0026351291837,126.18856248123481,130.13574398925348,49130000,1.810389322695638
2022-01-27,128.03758239746094,131.6577209195891,127.96561639041133,130.31933794967972,31950000,-0.17643555682661516
2022-01-28,132.35096740722656,132.35643452111876,127.52146135184636,128.68665325143462,34362000,3.3688429045588997
2022-01-31,134.2888641357422,134.45710287849602,131.2180716800117,133.15592938853976,39986000,1.4642104749812423
2022-02-01,136.61180114746094,136.75968585207823,133.36086675449982,136.56267283391475,68644000,1.7298061359508399
2022-02-02,146.89015197753906,150.41005044814193,144.43123734697568,150.11578031488366,123200000,7.523764963016277
2022-02-03,142.0169677734375,148.55259367465578,141.5956515737135,144.61286316505112,71518000,-3.3175704010754425
2022-02-04,142.21841430664062,143.78855127597606,139.46124724612397,142.36878265835006,57998000,0.14184680630873192
2022-02-07,138.15713500976562,143.1682685356502,137.85838215439898,143.1682685356502,54974000,-2.855663464309466
2022-02-08,138.3536376953125,138.95012868811895,135.98652845498887,137.98393352600814,54284000,0.1422312973796025
2022-02-09,140.53018188476562,141.45569926676154,139.13571933998102,139.90640076704875,40144000,1.5731745299291555
