timestamp,alpha,beta,theta,gamma,delta
2026-02-04T17:02:16.894659,0.3376,0.2119,0.0063,0.4423,-0.1863
2026-02-04T17:02:17.896065,0.3392,0.2355,-0.0141,0.4192,-0.2142
2026-02-04T17:02:18.897660,0.3279,0.2127,-0.0426,0.367,-0.2309
2026-02-04T17:02:19.898948,0.2796,0.1903,-0.1355,0.3796,-0.504
2026-02-04T17:02:20.899910,0.2667,0.1948,-0.1669,0.4214,-0.3282
2026-02-04T17:02:21.901311,0.232,0.2408,-0.0788,0.4131,-0.2734
2026-02-04T17:02:22.902627,0.2658,0.2383,-0.1906,0.3993,-0.3103
2026-02-04T17:02:23.903431,0.2471,0.2604,-0.263,0.3967,-0.2472
2026-02-04T17:02:24.904671,0.2591,0.2551,-0.2066,0.3682,-0.1527
2026-02-04T17:02:25.907790,0.3174,0.2676,-0.1634,0.3844,-0.1061
2026-02-04T17:02:26.908443,0.3063,0.2568,-0.1257,0.4002,-0.2106
2026-02-04T17:02:27.909183,0.2962,0.266,-0.1119,0.3888,-0.2183
2026-02-04T17:02:28.910200,0.4083,0.4315,0.0491,0.488,0.0174
2026-02-04T17:02:29.912081,0.4111,0.3642,0.037,0.4585,0.0174
2026-02-04T17:02:30.913505,0.3773,0.2742,0.0838,0.4961,0.0874
2026-02-04T17:02:31.914962,0.3365,0.2457,0.0706,0.4417,0.1448
2026-02-04T17:02:32.916435,0.2449,0.2794,0.0029,0.4816,0.051
2026-02-04T17:02:33.917199,0.2206,0.157,0.0022,0.1405,0.1549
2026-02-04T17:02:34.917767,0.2591,0.0798,-0.1625,0.1254,0.1215
2026-02-04T17:02:35.918677,0.2329,0.1168,0.0267,0.091,0.0984
2026-02-04T17:02:36.919538,0.2489,0.1453,-0.1002,0.0476,0.0918
2026-02-04T17:02:37.923017,0.2085,0.0908,-0.1228,0.0653,0.1065
2026-02-04T17:02:38.925734,0.3526,0.1361,0.0877,-0.0222,0.242
2026-02-04T17:02:39.926680,0.3908,0.1801,0.1094,-0.0461,0.1603
2026-02-04T17:02:40.927177,0.2153,0.1323,0.0103,-0.0328,0.0295
2026-02-04T17:02:41.928292,0.2841,0.1302,-0.1138,-0.0028,0.061
2026-02-04T17:02:42.929980,0.3267,0.2245,-0.0464,0.0111,0.1337
2026-02-04T17:02:43.931167,0.3428,0.144,0.0454,0.0543,0.0619
2026-02-04T17:02:44.932238,0.3626,0.1688,0.1093,0.0773,0.0009
2026-02-04T17:02:45.933530,0.38,0.1701,0.1438,0.0314,0.0257
2026-02-04T17:02:46.935063,0.2548,0.163,0.0089,0.0386,-0.0382
2026-02-04T17:02:47.936083,0.2025,0.1307,-0.1456,0.0476,0.1388
2026-02-04T17:02:48.936704,0.2365,0.1158,0.0353,-0.0117,0.0916
2026-02-04T17:02:49.937400,0.1938,0.1667,0.0472,-0.0432,-0.0749
2026-02-04T17:02:50.938358,0.1878,0.0897,-0.1413,-0.0639,-0.0415
2026-02-04T17:02:51.939184,0.2331,0.0818,-0.157,-0.1007,-0.0023
2026-02-04T17:02:52.940448,0.2449,0.1401,0.0138,0.0301,-0.0134
2026-02-04T17:02:53.941697,0.4357,0.1628,-0.029,-0.0744,-0.0788
2026-02-04T17:02:54.944092,0.3611,0.1423,-0.0718,-0.0864,-0.002
2026-02-04T17:02:55.946121,0.2899,0.1422,-0.0843,-0.0216,0.1599
2026-02-04T17:02:56.947586,0.1625,0.1217,-0.0525,-0.0308,0.0357
2026-02-04T17:02:57.948451,0.3192,0.1843,-0.0149,0.0287,0.0232
2026-02-04T17:02:58.949701,0.3051,0.2814,0.0227,0.0485,0.142
2026-02-04T17:02:59.951062,0.3383,0.2142,-0.0834,0.0755,0.1635
2026-02-04T17:03:00.952770,0.346,0.1799,0.14,0.0613,0.1735
2026-02-04T17:03:01.954207,0.3649,0.2083,0.0257,0.1162,0.0863
2026-02-04T17:03:02.955447,0.3061,0.1793,0.0568,0.0833,0.0961
2026-02-04T17:03:03.956203,0.2623,0.2163,-0.0175,0.0799,0.0906
2026-02-04T17:03:04.956775,0.2157,0.2589,0.0792,0.0467,0.1088
2026-02-04T17:03:05.958451,0.2249,0.1951,0.0782,0.06,0.1556
2026-02-04T17:03:06.959573,0.0522,0.1283,0.0333,-0.0873,0.0492
2026-02-04T17:03:07.960210,0.1489,0.1726,-0.0461,0.0371,-0.0704
2026-02-04T17:03:08.961318,0.1994,0.1223,-0.1225,0.0276,-0.1234
2026-02-04T17:03:09.962405,0.1242,0.0967,-0.1318,0.0291,-0.1344
2026-02-04T17:03:10.964028,0.1523,0.1293,-0.175,-0.0044,-0.2137
2026-02-04T17:03:11.964763,0.2427,0.1145,-0.1037,0.0202,-0.0553
2026-02-04T17:03:12.965837,0.4103,0.2554,0.0983,0.1138,0.1224
2026-02-04T17:03:13.967156,0.2658,0.2137,-0.0676,0.1324,0.0085
2026-02-04T17:03:14.968072,0.2408,0.1808,0.0155,0.1021,0.0096
2026-02-04T17:03:15.969122,0.2131,0.1919,-0.045,0.0999,-0.0494
2026-02-04T17:03:16.969788,0.295,0.1714,-0.136,-0.0113,-0.0938
2026-02-04T17:03:17.970648,0.2701,0.0551,-0.1138,0.0323,-0.0546
2026-02-04T17:03:18.971548,0.1563,0.1639,-0.1418,0.1063,-0.0143
2026-02-04T17:03:19.972959,0.1988,0.1727,-0.0656,0.0602,0.0575
2026-02-04T17:03:20.974067,0.2303,0.2169,-0.0299,0.0187,-0.0382
2026-02-04T17:03:21.975998,0.3223,0.2204,-0.0101,0.0307,0.0457
2026-02-04T17:03:22.976831,0.3051,0.0666,0.0767,-0.0703,-0.1093
2026-02-04T17:03:23.978470,0.1766,0.0947,-0.0118,-0.0102,-0.1156
2026-02-04T17:03:24.979800,0.1498,0.0303,-0.1274,-0.0436,-0.1697
2026-02-04T17:03:25.980336,0.2725,0.0892,-0.0468,0.1041,-0.1729
2026-02-04T17:03:26.981240,0.3172,0.0469,0.0462,0.0874,-0.1152
2026-02-04T17:03:27.981937,0.23,0.1255,-0.0184,0.0661,0.1172
2026-02-04T17:03:28.983658,0.3613,0.1238,-0.0319,-0.0724,0.031
2026-02-04T17:03:29.985271,0.446,0.1171,0.1307,-0.1585,-0.1214
2026-02-04T17:03:30.987636,0.4141,0.0816,0.0248,-0.1654,0.0137
2026-02-04T17:03:31.988920,0.2739,0.0579,-0.1282,-0.0568,-0.0631
2026-02-04T17:03:32.990023,0.2436,0.1307,-0.1516,0.013,0.0092
2026-02-04T17:03:33.991150,0.2463,0.0983,-0.109,-0.0042,-0.0408
2026-02-04T17:03:34.991886,0.2492,0.1663,-0.1054,-0.0285,-0.1381
2026-02-04T17:03:35.992595,0.2744,0.1887,-0.1237,0.0092,-0.1073
2026-02-04T17:03:36.993488,0.303,0.1327,-0.098,-0.0873,0.0033
2026-02-04T17:03:37.994300,0.237,0.0935,-0.1142,-0.0924,-0.101
2026-02-04T17:03:38.995079,0.167,0.1015,-0.1565,-0.0614,-0.0799
2026-02-04T17:03:39.996845,0.3473,0.1255,-0.0005,0.0022,-0.0896
2026-02-04T17:03:40.998532,0.3917,0.1351,0.0936,-0.0442,-0.0687
2026-02-04T17:03:42.000790,0.2326,0.1028,-0.1826,-0.0764,-0.0565
2026-02-04T17:03:43.001932,0.2384,0.0575,-0.1136,-0.1179,-0.105
2026-02-04T17:03:44.002950,0.349,-0.0331,-0.0066,-0.0964,-0.0863
2026-02-04T17:03:45.003603,0.3424,0.0052,-0.0042,-0.2007,-0.1321
2026-02-04T17:03:46.006521,0.1885,0.0676,-0.0998,-0.1428,-0.1828
2026-02-04T17:03:47.008040,0.2178,0.071,-0.0696,-0.1117,-0.042
2026-02-04T17:03:48.008999,0.235,0.0561,-0.1022,-0.0902,0.0238
2026-02-04T17:03:49.011967,0.3368,0.0633,-0.0123,-0.0892,-0.0469
2026-02-04T17:03:50.015175,0.2708,0.0378,-0.0395,-0.1204,-0.229
2026-02-04T17:03:51.016515,0.2539,0.0704,-0.078,-0.0644,-0.2034
2026-02-04T17:03:52.018030,0.272,0.0694,-0.0402,-0.0713,-0.181
2026-02-04T17:03:53.019483,0.2294,0.1173,-0.0593,-0.116,-0.2126
2026-02-04T17:03:54.020889,0.2457,0.0261,-0.0322,-0.135,-0.2152
2026-02-04T17:03:55.022294,0.2812,0.0441,-0.0073,-0.1541,-0.061
2026-02-04T17:03:56.023582,0.2552,0.0307,-0.0242,-0.2473,-0.1294
2026-02-04T17:03:57.024637,0.3027,0.1012,0.0964,-0.1582,-0.1311
2026-02-04T17:03:58.025705,0.3212,0.0875,0.0293,-0.1887,-0.2662
2026-02-04T17:03:59.027334,0.2226,0.0328,-0.0853,-0.1625,-0.2473
2026-02-04T17:04:00.028445,0.1603,-0.0026,-0.018,-0.0766,-0.1958
2026-02-04T17:04:01.030292,0.3594,-0.0471,0.1186,-0.1186,-0.1479
2026-02-04T17:04:02.031647,0.5051,0.1626,0.1648,-0.1334,0.0257
2026-02-04T17:04:03.032815,0.4462,0.1708,0.1321,-0.1306,0.0312
2026-02-04T17:04:04.033969,0.422,0.0886,0.0607,-0.1473,-0.0001
2026-02-04T17:04:05.035150,0.377,0.0848,0.0833,-0.1279,-0.0878
2026-02-04T17:04:06.036818,0.418,0.1115,0.0302,-0.1675,-0.1764
2026-02-04T17:04:07.037600,0.3778,0.1004,-0.0006,-0.1593,-0.0833
2026-02-04T17:04:08.038626,0.2816,0.1424,-0.1093,-0.1235,-0.1572
2026-02-04T17:04:09.040092,0.2244,0.0631,-0.0903,-0.1586,-0.1451
2026-02-04T17:04:10.040710,0.3197,0.0303,0.0585,-0.1309,-0.1676
2026-02-04T17:04:11.041613,0.3442,0.0706,0.1663,-0.1881,-0.1868
2026-02-04T17:04:12.043206,0.3696,0.0214,0.2411,-0.1884,-0.1641
2026-02-04T17:04:13.043718,0.3269,0.0405,0.1838,-0.1245,-0.0185
2026-02-04T17:04:14.045241,0.2822,0.1735,-0.0508,-0.0297,0.1929
2026-02-04T17:04:15.046281,0.3044,0.2004,0.0502,0.0184,-0.0141
2026-02-04T17:04:16.046796,0.2485,0.1253,-0.1146,0.0602,-0.2349
